
Don Han'Cho         
Grimestreet Smuggle 
Grimestreet Informa 
Kabal Chemist       
Kazakus             
Kabal Courier       
Aya Blackpaw        
Lotus Agents        
Jade Spirit         
Kun the Forgotten K 
Lunar Visions       
Pilfered Power      
Virmen Sensei       
Celestial Dreamer   
Jade Idol           
Jade Behemoth       
Jade Blossom        
Mark of the Lotus   
Knuckles            
Piranha Launcher    
Rat Pack            
Dispatch Kodo       
Trogg Beastrager    
Hidden Cache        
Shaky Zipgunner     
Alleycat            
Smuggler's Crate    
Inkmaster Solia     
Greater Arcane Miss 
Manic Soulcaster    
Kabal Crystal Runne 
Volcanic Potion     
Potion of Polymorph 
Cryomancer          
Kabal Lackey        
Freezing Potion     
Wickerflame Burnbri 
Small-Time Recruits 
Meanstreet Marshal  
Grimestreet Protect 
Grimestreet Enforce 
Getaway Kodo        
Grimestreet Outfitt 
Smuggler's Run      
Grimescale Chum     
Raza the Chained    
Dragonfire Potion   
Mana Geode          
Drakonid Operative  
Greater Healing Pot 
Pint-Sized Potion   
Kabal Songstealer   
Kabal Talonprist    
Potion of Madness   
Shaku the Collector 
Lotus Assassin      
Luckydo Buccaneer   
Shadow Sensei       
Gadgetzan Ferryman  
Counterfeit Coin    
Shadow Rager        
Jade Shuriken       
Jade Swarmer        
White Eyes          
Lotus Illusionist   
Finder Keepers      
Jinyu Waterspeaker  
Devolve             
Jade Claws          
Jade Chieftain      
Jade Lightning      
Call in the Finishe 
Krul the Unshackled 
Kabal Trafficker    
Unlicensed Apotheca 
Felfire Potion      
Seadveil Stinger    
Bloodfury Potion    
Abyssal Enforcer    
Blastcrystal Potion 
Cyrstalweaver       
Hobart Grapplehamme 
Brass Knuckles      
Sleep with the Fish 
Alley Armorsmith    
Grimestreet Pawnbro 
Stolen Goods        
Grimy Gadgeteer     
Public Defender     
I Know a Guy        
Mayer Noggenfogger  
Madam Goya          
Wrathion            
Finja the Flying St 
Genzo the Shark     
Sergeant Sally      
Auctionmaster Beard 
Patches the Pirate  
Wind-up Burglebot   
Defias Cleaner      
Fight Promoter      
Leatherclad Hoglead 
Burgly Bully        
Fel Orc Soulfiend   
Blubber Baron       
Dirty Rat           
Weasel Tunneler     
Second-Rate Bruiser 
Spiked Hogrider     
Dopplegangster      
Bomb Squad          
Backroom Bouncer    
Small-Time Buccanee 
Big-Time Racketeer  
Ancient of Blossoms 
Grook Fu Master     
Streetwise Investig 
Red Mana Wyrm       
Wogren Greaser      
Hozen Healer        
Kooky Chemist       
Daring Reporter     
Naga Corsair        
Tanaris Hogchopper  
Backstreet Leper    
Hired Gun           
Toxic Sewer Ooze    
Street Trickster    
Blowgill Sniper     
Gadgetzan Socialite 
Grimestreet Protect 
Mistress of Mixture 
